week,workflow_id,intake_starts,qualified_rate,match_acceptance_rate,firm_response_hours,client_trust_score,case_readiness_score,data_quality_score
2026-W01,BA001,796,0.738,0.585,45.8,86.4,62.4,75.8
2026-W02,BA001,817,0.75,0.549,40.0,86.2,63.6,73.6
2026-W03,BA001,837,0.642,0.586,37.3,88.0,67.7,79.3
2026-W04,BA001,833,0.72,0.444,40.9,88.1,65.2,80.4
2026-W05,BA001,742,0.701,0.633,42.5,91,64.6,78.4
2026-W06,BA001,869,0.732,0.493,43.4,81.5,68.3,81.5
2026-W07,BA001,833,0.648,0.515,39.8,86.3,72.3,73.1
2026-W08,BA001,785,0.74,0.56,46.3,84.9,72.3,73.0
2026-W09,BA001,868,0.745,0.512,42.2,91,71.4,76.2
2026-W10,BA001,754,0.724,0.48,35.5,84.0,68.1,76.2
2026-W11,BA001,887,0.718,0.583,42.1,91,64.5,77.2
2026-W12,BA001,737,0.728,0.574,40.6,86.5,74.1,84.1
2026-W01,BA002,1043,0.643,0.603,50.9,76.9,77.9,83.3
2026-W02,BA002,1146,0.651,0.588,42.4,86.8,73.0,75.8
2026-W03,BA002,1060,0.697,0.58,43.5,82.9,65.8,83.0
2026-W04,BA002,1077,0.742,0.565,46.9,91,64.0,82.2
2026-W05,BA002,1036,0.684,0.556,31.6,81.5,63.4,77.6
2026-W06,BA002,960,0.742,0.576,32.8,88.0,68.9,77.2
2026-W07,BA002,1083,0.669,0.484,39.6,85.2,68.2,80.7
2026-W08,BA002,913,0.767,0.599,36.8,91,74.2,79.1
2026-W09,BA002,1097,0.688,0.463,37.6,91,71.2,69.5
2026-W10,BA002,917,0.747,0.509,46.4,80.1,78.3,82.2
2026-W11,BA002,968,0.761,0.627,35.6,87.4,71.3,79.5
2026-W12,BA002,1161,0.646,0.648,41.1,83.1,75.9,86.2
2026-W01,BA003,668,0.744,0.499,38.5,80.5,63.9,77.0
2026-W02,BA003,607,0.743,0.604,35.8,84.9,58.6,80.6
2026-W03,BA003,660,0.685,0.557,48.6,80.5,67.3,75.8
2026-W04,BA003,647,0.723,0.408,40.1,86.7,70.4,77.6
2026-W05,BA003,554,0.723,0.553,38.9,88.1,69.9,72.9
2026-W06,BA003,629,0.74,0.479,35.5,88.0,71.1,71.7
